O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
4.89,1.74,1666.8,2.42,5.807535397,0.88,10.0,83.3,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,15.0,80.8,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,20.0,76.6,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,30.0,73.3,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,40.0,68.8,0.119834711
4.89,1.74,1666.8,2.42,5.807535397,0.88,50.0,65.2,0.119834711
6.42,2.75,1301.6,3.04,9.34234788,0.92,0.2,67.8,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,0.5,59.8,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,1.0,56.8,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,2.0,53.2,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,3.0,51.7,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,4.0,49.9,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,5.0,49.2,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,10.0,45.5,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,15.0,43.7,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,20.0,41.1,0.069078947
6.42,2.75,1301.6,3.04,9.34234788,0.92,30.0,37.4,0.069078947
4.77,0.0,1644.0,0.96,2.335766423,1.06,0.1,52.9,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,0.2,48.7,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,0.5,43.8,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,1.0,40.0,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,2.0,36.5,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,5.0,31.4,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,10.0,26.9,0.570833333
4.77,0.0,1644.0,0.96,2.335766423,1.06,20.0,21.4,0.570833333
4.43,2.62,2038.0,1.29,2.531894014,1.12,0.1,103.2,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,0.2,93.7,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,0.5,85.3,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,1.0,80.3,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,2.0,74.7,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,5.0,68.2,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,10.0,61.0,0.331782946
4.43,2.62,2038.0,1.29,2.531894014,1.12,20.0,52.8,0.331782946
9.1,3.1,1055.0,0.95,3.601895735,1.06,0.1,230.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,0.2,165.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,0.5,150.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,1.0,137.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,2.0,127.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,5.0,122.0,0.368421053
9.1,3.1,1055.0,0.95,3.601895735,1.06,10.0,118.0,0.368421053
6.1,7.2,1843.0,1.1,2.387411829,1.01,0.5,181.0,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,1.0,153.3,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,2.0,137.2,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,3.0,130.2,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,5.0,121.7,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,10.0,110.4,0.309090909
6.1,7.2,1843.0,1.1,2.387411829,1.01,15.0,104.0,0.309090909
4.2,6.3,543.0,0.9,6.629834254,0.99,0.5,110.0,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,1.0,97.8,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,2.0,89.8,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,3.0,84.9,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,5.0,78.4,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,10.0,67.2,0.111111111
4.2,6.3,543.0,0.9,6.629834254,0.99,15.0,58.2,0.111111111
10.8,5.7,1454.0,0.83,2.283356259,1.05,0.5,98.0,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,1.0,81.7,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,2.0,72.2,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,3.0,67.0,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,5.0,60.7,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,10.0,50.9,0.108433735
10.8,5.7,1454.0,0.83,2.283356259,1.05,15.0,45.1,0.108433735
9.33,6.25,1021.0,1.07,4.191968658,0.84,0.2,122.3,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,0.5,108.1,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,1.0,103.8,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,2.0,94.2,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,5.0,85.6,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,10.0,76.0,0.654
9.33,6.25,1021.0,1.07,4.191968658,0.84,20.0,59.1,0.654
8.0,8.12,1685.0,1.2,2.848664688,0.85,0.2,153.8,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,0.5,146.9,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,1.0,127.3,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,2.0,117.0,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,5.0,108.7,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,10.0,95.5,0.337
8.0,8.12,1685.0,1.2,2.848664688,0.85,20.0,82.3,0.337
9.75,7.83,2370.0,2.18,3.679324895,0.85,0.2,250.0,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,0.5,217.5,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,1.0,184.3,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,2.0,163.5,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,5.0,156.8,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,10.0,151.9,0.242
9.75,7.83,2370.0,2.18,3.679324895,0.85,20.0,149.2,0.242
4.41,12.14,494.0,0.27,2.186234818,3.1,0.2,138.5,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,0.5,112.9,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,1.0,98.1,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,2.0,89.3,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,5.0,77.6,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,10.0,69.0,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,20.0,61.8,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,40.0,48.7,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,60.0,38.7,0.62962963
4.41,12.14,494.0,0.27,2.186234818,3.1,80.0,28.8,0.62962963
5.51,5.19,642.0,0.58,3.613707165,3.5,0.2,149.9,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,0.5,128.2,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,1.0,112.4,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,2.0,102.5,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,5.0,90.9,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,10.0,83.2,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,20.0,73.8,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,40.0,63.3,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,60.0,55.4,0.155172414
5.51,5.19,642.0,0.58,3.613707165,3.5,80.0,46.9,0.155172414
11.74,6.67,1702.0,1.29,3.03172738,4.4,0.2,212.0,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,0.5,189.9,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,1.0,171.8,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,2.0,155.1,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,5.0,145.9,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,10.0,134.2,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,20.0,126.2,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,40.0,114.0,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,60.0,104.4,0.403100775
11.74,6.67,1702.0,1.29,3.03172738,4.4,80.0,93.4,0.403100775
7.41,0.53,1398.16,0.79,2.260113292,0.7,0.2,94.6,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,0.5,84.0,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,0.8,80.3,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,1.0,77.9,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,2.0,75.0,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,5.0,71.3,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,8.0,67.5,0.670886076
7.41,0.53,1398.16,0.79,2.260113292,0.7,10.0,65.7,0.670886076
6.75,2.16,2363.18,1.33,2.251203886,0.79,0.2,135.3,0.398496241
6.75,2.16,2363.18,1.33,2.251203886,0.79,0.5,110.1,0.398496241
